Timestamp,Dataset,p,Critical_k,Speedup_At_k
2026-01-25 19:53:36,Secom_p175,175,55,1.1558
2026-01-25 19:53:37,Secom_p175,175,49,0.9706
2026-01-25 19:53:38,Secom_p200,200,100,3.9008
2026-01-25 19:53:38,Secom_p200,200,50,1.1170
2026-01-25 19:53:39,Secom_p200,200,25,0.3522
2026-01-25 19:53:39,Secom_p200,200,37,0.6693
2026-01-25 19:53:39,Secom_p200,200,43,0.8608
2026-01-25 19:53:40,Secom_p200,200,46,0.9544
2026-01-25 19:53:41,Secom_p225,225,113,4.3791
2026-01-25 19:53:42,Secom_p225,225,56,1.1585
2026-01-25 19:53:42,Secom_p225,225,28,0.3689
2026-01-25 19:53:43,Secom_p225,225,42,0.7055
2026-01-25 19:53:43,Secom_p225,225,49,0.9228
2026-01-25 19:53:44,Secom_p225,225,52,1.0180
2026-01-25 19:53:46,Secom_p250,250,125,5.4215
2026-01-25 19:53:47,Secom_p250,250,62,1.3566
2026-01-25 19:53:47,Secom_p250,250,31,0.4159
2026-01-25 19:53:48,Secom_p250,250,46,0.8075
2026-01-25 19:53:49,Secom_p250,250,54,1.0674
2026-01-25 19:53:49,Secom_p250,250,50,0.9286
2026-01-25 19:53:50,Secom_p250,250,52,1.0013
2026-01-25 19:53:53,Secom_p275,275,138,6.1998
2026-01-25 19:53:54,Secom_p275,275,69,1.5424
2026-01-25 19:53:55,Secom_p275,275,34,0.4389
2026-01-25 19:53:55,Secom_p275,275,51,0.8810
2026-01-25 19:53:56,Secom_p275,275,60,1.1748
2026-01-25 19:53:57,Secom_p275,275,55,1.0054
2026-01-25 19:54:01,Secom_p300,300,150,7.5206
2026-01-25 19:54:02,Secom_p300,300,75,1.8318
2026-01-25 19:54:03,Secom_p300,300,37,0.4985
2026-01-25 19:54:04,Secom_p300,300,56,1.0337
2026-01-25 19:54:09,Secom_p325,325,163,8.2368
2026-01-25 19:54:11,Secom_p325,325,81,1.9321
2026-01-25 19:54:12,Secom_p325,325,40,0.5097
2026-01-25 19:54:13,Secom_p325,325,60,1.0390
2026-01-25 19:54:19,Secom_p350,350,175,9.6378
2026-01-25 19:54:21,Secom_p350,350,87,2.2082
2026-01-25 19:54:22,Secom_p350,350,43,0.6847
2026-01-25 19:54:24,Secom_p350,350,65,1.1998
2026-01-25 19:54:25,Secom_p350,350,54,0.8447
2026-01-25 19:54:26,Secom_p350,350,59,0.9896
2026-01-25 19:54:35,Secom_p375,375,188,10.8208
2026-01-25 19:54:37,Secom_p375,375,94,2.5081
2026-01-25 19:54:38,Secom_p375,375,47,0.6141
2026-01-25 19:54:40,Secom_p375,375,70,1.3068
2026-01-25 19:54:41,Secom_p375,375,58,0.9013
2026-01-25 19:54:43,Secom_p375,375,64,1.0378
2026-01-25 19:54:53,Secom_p400,400,200,13.6327
2026-01-25 19:54:56,Secom_p400,400,100,3.0075
2026-01-25 19:54:57,Secom_p400,400,50,0.7395
2026-01-25 19:54:59,Secom_p400,400,75,1.6635
2026-01-25 19:55:01,Secom_p400,400,62,1.0959
2026-01-25 19:55:02,Secom_p400,400,56,0.8973
2026-01-25 19:55:04,Secom_p400,400,59,0.9899
2026-01-25 19:55:17,Secom_p425,425,213,13.0035
2026-01-25 19:55:21,Secom_p425,425,106,2.8008
2026-01-25 19:55:22,Secom_p425,425,53,0.6627
2026-01-25 19:55:24,Secom_p425,425,79,1.4971
2026-01-25 19:55:26,Secom_p425,425,66,1.0023
2026-01-25 19:55:43,Secom_p450,450,225,15.1185
2026-01-25 19:55:47,Secom_p450,450,112,3.1811
2026-01-25 19:55:49,Secom_p450,450,56,0.7329
2026-01-25 19:55:51,Secom_p450,450,84,1.7104
2026-01-25 19:55:53,Secom_p450,450,70,1.1498
2026-01-25 19:55:55,Secom_p450,450,63,0.9167
2026-01-25 19:55:57,Secom_p450,450,66,1.0043
2026-01-25 19:56:17,Secom_p475,475,238,16.5895
2026-01-25 19:56:22,Secom_p475,475,119,3.4976
2026-01-25 19:56:24,Secom_p475,475,59,0.7643
2026-01-25 19:56:27,Secom_p475,475,89,1.8370
2026-01-25 19:56:30,Secom_p475,475,74,1.2364
2026-01-25 19:56:32,Secom_p475,475,66,0.9590
2026-01-25 20:01:30,Arrhythmia_p50,50,25,0.3235
2026-01-25 20:01:30,Arrhythmia_p50,50,38,0.3962
2026-01-25 20:01:30,Arrhythmia_p50,50,44,0.4397
2026-01-25 20:01:30,Arrhythmia_p50,50,47,0.4435
2026-01-25 20:01:30,Arrhythmia_p50,50,49,0.4526
2026-01-25 20:01:30,Arrhythmia_p50,50,50,0.4650
2026-01-25 20:01:30,Arrhythmia_p75,75,38,0.4961
2026-01-25 20:01:30,Arrhythmia_p75,75,57,0.7849
2026-01-25 20:01:31,Arrhythmia_p75,75,66,0.8845
2026-01-25 20:01:31,Arrhythmia_p75,75,71,0.9294
2026-01-25 20:01:31,Arrhythmia_p75,75,73,0.9349
2026-01-25 20:01:31,Arrhythmia_p75,75,74,0.9451
2026-01-25 20:01:31,Arrhythmia_p75,75,75,0.9486
2026-01-25 20:01:31,Arrhythmia_p100,100,50,0.9191
