experiment_name,k,steps,samples,alpha,g_obj,fw_obj,g_time,fw_time,dataset_name,p,ratio,speedupx
sniper_k65_a0.2_m50,65,1300,50,0.2,91.14589758687733,90.20446339896884,2.894869565963745,12.184531927108765,madelon,500,0.9896711293340313,0.23758561947899637
sniper_k70_a0.2_m50,70,1400,50,0.2,96.88008738425563,95.91374791460522,3.415580987930298,13.056347846984863,madelon,500,0.9900254067090422,0.2616030936031677
sniper_k75_a0.2_m50,75,1500,50,0.2,102.5956986849283,101.54158391373343,4.00176477432251,14.049210548400879,madelon,500,0.989725546151481,0.284839120357407
sniper_k80_a0.2_m50,80,1600,50,0.2,108.28407487052014,107.14500459413131,4.646023273468018,14.953717947006226,madelon,500,0.9894807220937071,0.3106935204965641
sniper_k85_a0.2_m50,85,1700,50,0.2,113.94756100798882,112.8663576978338,5.396197557449341,15.8715238571167,madelon,500,0.990511395763186,0.33999240438590383
sniper_k90_a0.2_m50,90,1800,50,0.2,119.58587882994655,118.66893778479177,6.22941255569458,16.864177942276,madelon,500,0.9923323635355082,0.36938726435507796
sniper_k95_a0.2_m50,95,1900,50,0.2,125.20084674904926,123.9729828627453,7.1198813915252686,17.92049551010132,madelon,500,0.9901928467882883,0.3973038238541996
sniper_k100_a0.2_m50,100,2000,50,0.2,130.79525556125105,129.71494282720957,8.190415382385254,18.6646146774292,madelon,500,0.991740428737986,0.43882049128449374
sniper_k105_a0.2_m50,105,2100,50,0.2,136.3670248107565,135.30998737407592,9.387169122695923,19.677823305130005,madelon,500,0.9922485847429209,0.47704306401860463
sniper_k110_a0.2_m50,110,2200,50,0.2,141.92327349050996,140.78167693736114,10.706050395965576,20.452229976654053,madelon,500,0.9919562413896467,0.5234661652145702
sniper_k115_a0.2_m50,115,2300,50,0.2,147.4589432696251,146.257655846972,12.175750494003296,21.389128923416138,madelon,500,0.9918534108815863,0.5692494789104605
sniper_k120_a0.2_m50,120,2400,50,0.2,152.96976046618585,151.64456902687084,13.750558137893677,22.157745838165283,madelon,500,0.9913369058350069,0.6205756776128928
sniper_k125_a0.2_m50,125,2500,50,0.2,158.45365388362325,157.2181265741446,15.494242191314697,22.6752667427063,madelon,500,0.9922025950226047,0.6833102502001904
sniper_k6_a0.2_m50,6,1000,50,0.2,91.08066213452419,63.061975200983724,0.1345081329345703,15.527057647705078,mnist,639,0.6923750192751402,0.008662821764846788
sniper_k12_a0.2_m50,12,1000,50,0.2,143.83794410405795,136.73518990460752,0.29381775856018066,15.522628784179688,mnist,639,0.9506197461059925,0.01892835051622397
sniper_k19_a0.2_m50,19,1000,50,0.2,192.71533340984251,189.25186378594393,0.5174849033355713,15.193208932876587,mnist,639,0.9820280536965218,0.03406027690541302
sniper_k25_a0.2_m50,25,1000,50,0.2,226.48560986818367,215.96831847296502,0.7318863868713379,14.96190357208252,mnist,639,0.953563092148151,0.04891666246512696
sniper_k31_a0.2_m50,31,1000,50,0.2,255.79570238731003,242.54852697595234,0.9983048439025879,15.273054838180542,mnist,639,0.9482118921947342,0.06536379620709294
sniper_k38_a0.2_m50,38,1000,50,0.2,285.82013399196677,277.8125471643089,1.3887357711791992,15.354690790176392,mnist,639,0.9719838252266619,0.09044374713606627
sniper_k44_a0.2_m50,44,1000,50,0.2,308.6339977112414,300.5452962923241,1.7851994037628174,15.505015134811401,mnist,639,0.973791929991831,0.11513690172122054
sniper_k51_a0.2_m50,51,1020,50,0.2,332.24155004038016,327.43356401365014,2.3490257263183594,15.256173849105835,mnist,639,0.9855286431629467,0.15397213938120113
sniper_k57_a0.2_m50,57,1140,50,0.2,350.6189393465564,347.06810887231956,2.889888048171997,17.02022385597229,mnist,639,0.9898726792087887,0.16979142416848728
sniper_k63_a0.2_m50,63,1260,50,0.2,367.5541495318956,363.31110375462384,3.6153159141540527,19.183173418045044,mnist,639,0.9884559981633304,0.1884628697957363
sniper_k70_a0.2_m50,70,1400,50,0.2,385.69522354049803,379.2424016040948,4.552178621292114,21.250059843063354,mnist,639,0.9832696348241771,0.21421956714056406
sniper_k76_a0.2_m50,76,1520,50,0.2,399.83390108306224,395.16281624651896,5.456348896026611,22.86826777458191,mnist,639,0.988317436755887,0.23859913439055255
sniper_k83_a0.2_m50,83,1660,50,0.2,415.3124789468238,411.18702906374847,6.778575420379639,25.03844428062439,mnist,639,0.9900666363468372,0.27072670108442537
sniper_k89_a0.2_m50,89,1780,50,0.2,427.58736992846184,422.8240218874306,8.065866947174072,26.56464195251465,mnist,639,0.9888599421404141,0.3036316831068956
sniper_k95_a0.2_m50,95,1900,50,0.2,439.02648961462694,435.64585013714947,9.492971181869507,28.617375135421753,mnist,639,0.9922996913456293,0.33172054169703996
sniper_k102_a0.2_m50,102,2040,50,0.2,451.30383542221995,446.6220448056902,11.576035022735596,30.832340717315674,mnist,639,0.989626078377664,0.37545106058828703
sniper_k108_a0.2_m50,108,2160,50,0.2,461.15803714037236,457.7732989739557,13.615878343582153,32.06931257247925,mnist,639,0.9926603509126605,0.42457655781704595
sniper_k115_a0.2_m50,115,2300,50,0.2,471.96060383167946,470.31384049010984,16.33926796913147,33.29619383811951,mnist,639,0.9965108033844348,0.49072479721166457
sniper_k121_a0.2_m50,121,2420,50,0.2,480.70018828466624,477.65391232688324,18.80727481842041,35.06549644470215,mnist,639,0.9936628359380234,0.5363470284266258
sniper_k127_a0.2_m50,127,2540,50,0.2,489.0256156571578,486.93186426747604,21.74734878540039,37.079808950424194,mnist,639,0.9957185240963949,0.5865011012995416
sniper_k134_a0.2_m50,134,2680,50,0.2,498.1932604091826,495.1041672193738,25.404659271240234,39.084665060043335,mnist,639,0.9937994079099511,0.6499904561600475
sniper_k140_a0.2_m50,140,2800,50,0.2,505.61840432989266,503.636825523344,28.930333375930786,40.89737010002136,mnist,639,0.9960808807796961,0.7073885999314091
sniper_k146_a0.2_m50,146,2920,50,0.2,512.5607870731164,510.8715937845769,32.85413074493408,42.05147671699524,mnist,639,0.9967044039826273,0.7812836387659123
sniper_k153_a0.2_m50,153,3060,50,0.2,520.149476674642,519.1924328574169,37.75806021690369,44.53445029258728,mnist,639,0.9981600600209317,0.8478393685974941
sniper_k159_a0.2_m50,159,3180,50,0.2,526.1907434712498,525.0983680861355,42.49090266227722,46.23653721809387,mnist,639,0.9979239935352948,0.9189897258493038
sniper_k1_a0.2_m50,1,1000,50,0.2,2.8590045821430063,2.8590045821430063,0.00347900390625,1.1610233783721924,myocardial,111,1.0,0.0029964977200784035
sniper_k2_a0.2_m50,2,1000,50,0.2,5.330882565336822,5.330882565336822,0.006785392761230469,1.1576306819915771,myocardial,111,1.0,0.005861448618100672
sniper_k3_a0.2_m50,3,1000,50,0.2,7.541881593632651,7.528844699503685,0.01032257080078125,1.1630795001983643,myocardial,111,0.9982714003173992,0.008875206552106479
sniper_k4_a0.2_m50,4,1000,50,0.2,9.643750364135425,9.631922196334768,0.013801336288452148,1.1557443141937256,myocardial,111,0.9987734888032104,0.011941513463624768
sniper_k5_a0.2_m50,5,1000,50,0.2,11.596635456756939,11.477047572719368,0.017406702041625977,1.1555900573730469,myocardial,111,0.9896877086044908,0.015063042408997428
sniper_k6_a0.2_m50,6,1000,50,0.2,13.469110714222682,12.658692727285494,0.02137446403503418,1.1812739372253418,myocardial,111,0.9398313664404415,0.01809441769725319
sniper_k7_a0.2_m50,7,1000,50,0.2,15.238737573064586,14.68183343942543,0.025739192962646484,1.1756868362426758,myocardial,111,0.9634547067321693,0.021892898830869964
sniper_k8_a0.2_m50,8,1000,50,0.2,16.882416797582543,16.239205656976917,0.029082059860229492,1.1547400951385498,myocardial,111,0.9619005295084452,0.025184939868862978
sniper_k9_a0.2_m50,9,1000,50,0.2,18.440136865055084,17.888274012579586,0.03305172920227051,1.15617036819458,myocardial,111,0.970072735548872,0.028587248135309416
sniper_k11_a0.2_m50,11,1000,50,0.2,21.50931146443287,20.575049049307303,0.04136061668395996,1.1701133251190186,myocardial,111,0.9565647456139899,0.035347530701569395
sniper_k12_a0.2_m50,12,1000,50,0.2,22.97678440332036,22.390152790849708,0.04553389549255371,1.1541478633880615,myocardial,111,0.9744685068992562,0.039452393351824586
sniper_k13_a0.2_m50,13,1000,50,0.2,24.364091455902063,23.5908483406509,0.051161766052246094,1.1658556461334229,myocardial,111,0.9682630022691099,0.04388344836852215
sniper_k14_a0.2_m50,14,1000,50,0.2,25.724991872280988,25.293170292281122,0.054242610931396484,1.1547770500183105,myocardial,111,0.9832139274467504,0.04697236659711621
sniper_k15_a0.2_m50,15,1000,50,0.2,27.048768961094044,26.284706926566393,0.05940675735473633,1.1590070724487305,myocardial,111,0.9717524285254294,0.051256596069964216
sniper_k16_a0.2_m50,16,1000,50,0.2,28.2699971221736,27.63473655466054,0.06389284133911133,1.1590547561645508,myocardial,111,0.9775288067852406,0.055124955054358514
sniper_k17_a0.2_m50,17,1000,50,0.2,29.45701281521677,29.09995247912254,0.06872248649597168,1.1554038524627686,myocardial,111,0.9878785965727732,0.05947919106335694
sniper_k18_a0.2_m50,18,1000,50,0.2,30.628981631786864,30.113884312436713,0.07769155502319336,1.1639454364776611,myocardial,111,0.983182682155662,0.06674845107714329
sniper_k19_a0.2_m50,19,1000,50,0.2,31.7973415221421,31.22556783847376,0.07871627807617188,1.1560945510864258,myocardial,111,0.9820181922042073,0.06808809712164045
sniper_k21_a0.2_m50,21,1000,50,0.2,34.10377607113182,33.174020512316645,0.09081530570983887,1.1740186214447021,myocardial,111,0.972737460013931,0.07735422935462902
sniper_k22_a0.2_m50,22,1000,50,0.2,35.24318997809242,34.70636091776248,0.09342241287231445,1.1721198558807373,myocardial,111,0.9847678640706578,0.07970380537757919
